Proteins	Common-Name	Locations	Genes of polypeptide, complex, or RNA
SYNPCC7942_2354-MONOMER	Peptidylprolyl isomerase		SYNPCC7942_2354
SYNPCC7942_0969-MONOMER	Carboxymethylenebutenolidase	CCO-MEMBRANE	SYNPCC7942_0969
SYNPCC7942_1341-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1341
SYNPCC7942_0218-MONOMER	conserved hypothetical protein		SYNPCC7942_0218
SYNPCC7942_1708-MONOMER	Oligopeptidase A		SYNPCC7942_1708
SYNPCC7942_0586-MONOMER	conserved hypothetical protein		SYNPCC7942_0586
SYNPCC7942_2076-MONOMER	putative ribosome biogenesis GTPase RsgA	CCI-CYTOSOL-GN	SYNPCC7942_2076
SYNPCC7942_2338-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2338
SYNPCC7942_0953-MONOMER	conserved hypothetical protein		SYNPCC7942_0953
SYNPCC7942_1325-MONOMER	replicative DNA helicase		SYNPCC7942_1325
SYNPCC7942_0202-MONOMER	Cbb3-type cytochrome oxidase subunit 1-like	CCI-PM-BAC-NEG-GN	SYNPCC7942_0202
SYNPCC7942_1692-MONOMER	mrr restriction system protein		SYNPCC7942_1692
SYNPCC7942_0570-MONOMER	DNA polymerase III alpha subunit C-terminal part/intein		SYNPCC7942_0570
SYNPCC7942_2060-MONOMER	Protein of unknown function UPF0001		SYNPCC7942_2060
SYNPCC7942_2322-MONOMER	glutamyl-tRNA(Gln) amidotransferase, C subunit		SYNPCC7942_2322
SYNPCC7942_0937-MONOMER	conserved hypothetical protein		SYNPCC7942_0937
SYNPCC7942_1309-MONOMER	methylenetetrahydrofolate reductase		SYNPCC7942_1309
SYNPCC7942_0186-MONOMER	uncharacterized protein		SYNPCC7942_0186
SYNPCC7942_1676-MONOMER	conserved hypothetical protein		SYNPCC7942_1676
SYNPCC7942_0554-MONOMER	conserved hypothetical protein		SYNPCC7942_0554
SYNPCC7942_2044-MONOMER	conserved hypothetical protein		SYNPCC7942_2044
SYNPCC7942_2306-MONOMER	Heat shock protein DnaJ-like		SYNPCC7942_2306
SYNPCC7942_0921-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0921
SYNPCC7942_1293-MONOMER	phenylalanyl-tRNA synthetase, beta subunit	CCI-CYTOSOL-GN	SYNPCC7942_1293
SYNPCC7942_0170-MONOMER	hypothetical protein		SYNPCC7942_0170
SYNPCC7942_1660-MONOMER	potassium-efflux system protein (K(+)/H(+) antiporter)	CCI-PM-BAC-NEG-GN	SYNPCC7942_1660
SYNPCC7942_0538-MONOMER	transketolase		SYNPCC7942_0538
SYNPCC7942_2028-MONOMER	probable glycosyltransferase		SYNPCC7942_2028
SYNPCC7942_2290-MONOMER	3-deoxy-D-manno-octulosonate cytidylyltransferase	CCI-CYTOSOL-GN	SYNPCC7942_2290
SYNPCC7942_0905-MONOMER	hypothetical protein		SYNPCC7942_0905
SYNPCC7942_B2659-MONOMER	VapC-like toxin		SYNPCC7942_B2659
SYNPCC7942_1277-MONOMER	50S ribosomal subunit protein L20	CCI-RIBOSOME-GN	SYNPCC7942_1277
SYNPCC7942_0154-MONOMER	hypothetical protein		SYNPCC7942_0154
SYNPCC7942_1644-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1644
SYNPCC7942_0522-MONOMER	hypothetical protein		SYNPCC7942_0522
SYNPCC7942_2012-MONOMER	stage II sporulation protein D-like		SYNPCC7942_2012
SYNPCC7942_2274-MONOMER	Magnesium chelatase subunit D		SYNPCC7942_2274
SYNPCC7942_0889-MONOMER	conserved hypothetical protein		SYNPCC7942_0889
SYNPCC7942_B2643-MONOMER	putative glutamine amidotransferase		SYNPCC7942_B2643
SYNPCC7942_1261-MONOMER	triosephosphate isomerase	CCI-CYTOSOL-GN	SYNPCC7942_1261
SYNPCC7942_0138-MONOMER	Membrane proteins, metalloendopeptidases-like		SYNPCC7942_0138
SYNPCC7942_1628-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1628
SYNPCC7942_0506-MONOMER	Uridylate kinase	CCI-CYTOSOL-GN	SYNPCC7942_0506
SYNPCC7942_1996-MONOMER	conserved hypothetical protein		SYNPCC7942_1996
SYNPCC7942_2258-MONOMER	valine-pyruvate aminotransferase		SYNPCC7942_2258
SYNPCC7942_0873-MONOMER	conserved hypothetical protein		SYNPCC7942_0873
SYNPCC7942_B2627-MONOMER	acyl-CoA dehydrogenase		SYNPCC7942_B2627
SYNPCC7942_1245-MONOMER	conserved hypothetical protein		SYNPCC7942_1245
SYNPCC7942_0121-MONOMER	conserved hypothetical protein		SYNPCC7942_0121
SYNPCC7942_1612-MONOMER	pyridine nucleotide transhydrogenase alpha subunit		SYNPCC7942_1612
SYNPCC7942_0490-MONOMER	diguanylate cyclase (GGDEF domain) with PAS/PAC sensor	CCO-MEMBRANE	SYNPCC7942_0490
SYNPCC7942_1980-MONOMER	LysR family transcriptional regulator		SYNPCC7942_1980
SYNPCC7942_2242-MONOMER	two-component sensor histidine kinase		SYNPCC7942_2242
SYNPCC7942_0857-MONOMER	CheW protein		SYNPCC7942_0857
SYNPCC7942_2610-MONOMER	uroporphyrin-III C-methyltransferase		SYNPCC7942_2610
SYNPCC7942_1229-MONOMER	precorrin-4 C11-methyltransferase		SYNPCC7942_1229
SYNPCC7942_0105-MONOMER	NAD+ synthetase	CCI-CYTOSOL-GN	SYNPCC7942_0105
SYNPCC7942_1596-MONOMER	pyruvoyl-tetrahydropterin reductase		SYNPCC7942_1596
SYNPCC7942_0474-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0474
SYNPCC7942_1964-MONOMER	4-hydroxybenzoate polyprenyl transferase	CCI-PM-BAC-NEG-GN	SYNPCC7942_1964
SYNPCC7942_2226-MONOMER	30S ribosomal subunit protein S3	CCI-RIBOSOME-GN	SYNPCC7942_2226
SYNPCC7942_0840-MONOMER	conserved hypothetical protein		SYNPCC7942_0840
SYNPCC7942_2594-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2594
SYNPCC7942_1213-MONOMER	virulence associated protein C		SYNPCC7942_1213
SYNPCC7942_0089-MONOMER	Carboxymethylenebutenolidase		SYNPCC7942_0089
SYNPCC7942_1580-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1580
SYNPCC7942_0458-MONOMER	Carboxylesterase		SYNPCC7942_0458
SYNPCC7942_1948-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1948
SYNPCC7942_2210-MONOMER	30S ribosomal subunit protein S11	CCI-RIBOSOME-GN	SYNPCC7942_2210
SYNPCC7942_0823-MONOMER	oligopeptide ABC type transporter,, membrane protein	CCO-MEMBRANE	SYNPCC7942_0823
SYNPCC7942_2578-MONOMER	conserved hypothetical protein		SYNPCC7942_2578
SYNPCC7942_1197-MONOMER	Indole-3-glycerol-phosphate synthase		SYNPCC7942_1197
SYNPCC7942_0073-MONOMER	hydroxymethylbutenyl pyrophosphate reductase		SYNPCC7942_0073
SYNPCC7942_1564-MONOMER	conserved hypothetical protein		SYNPCC7942_1564
SYNPCC7942_0442-MONOMER	ammonium transporter	CCI-PM-BAC-NEG-GN	SYNPCC7942_0442
SYNPCC7942_1932-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1932
SYNPCC7942_2194-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2194
SYNPCC7942_0807-MONOMER	conserved hypothetical protein		SYNPCC7942_0807
SYNPCC7942_2562-MONOMER	aluminum resistance protein-like		SYNPCC7942_2562
SYNPCC7942_1181-MONOMER	ferredoxin-plastoquinone oxidoreductase subunit K	CCI-THY-MEM-CYA-GN	SYNPCC7942_1181
SYNPCC7942_0057-MONOMER	putative C-3 methyl transferase		SYNPCC7942_0057
SYNPCC7942_1548-MONOMER	probable amidase	CCO-MEMBRANE	SYNPCC7942_1548
SYNPCC7942_0426-MONOMER	condensin subunit ScpB		SYNPCC7942_0426
SYNPCC7942_1916-MONOMER	signal peptide peptidase SppA, 36K type		SYNPCC7942_1916
SYNPCC7942_2178-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2178
SYNPCC7942_0791-MONOMER	polyA polymerase		SYNPCC7942_0791
SYNPCC7942_2546-MONOMER	conserved hypothetical protein		SYNPCC7942_2546
SYNPCC7942_1165-MONOMER	hypothetical protein		SYNPCC7942_1165
SYNPCC7942_0041-MONOMER	probable transport protein	CCO-MEMBRANE	SYNPCC7942_0041
SYNPCC7942_1531-MONOMER	molybdate transport system periplasmic molybdate-binding protein		SYNPCC7942_1531
SYNPCC7942_0410-MONOMER	conserved hypothetical protein		SYNPCC7942_0410
SYNPCC7942_1900-MONOMER	Deoxycytidine triphosphate deaminase		SYNPCC7942_1900
SYNPCC7942_2162-MONOMER	hypothetical protein		SYNPCC7942_2162
SYNPCC7942_0775-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0775
SYNPCC7942_2530-MONOMER	30S ribosomal subunit protein S2	CCI-RIBOSOME-GN	SYNPCC7942_2530
SYNPCC7942_1149-MONOMER	dTDP-glucose 46-dehydratase		SYNPCC7942_1149
SYNPCC7942_0025-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0025
SYNPCC7942_1515-MONOMER	protein serine/threonine phosphatases		SYNPCC7942_1515
SYNPCC7942_0394-MONOMER	phosphatidate cytidylyltransferase	CCO-MEMBRANE	SYNPCC7942_0394
SYNPCC7942_1884-MONOMER	cytidylyltransferase		SYNPCC7942_1884
SYNPCC7942_2146-MONOMER	hypothetical protein		SYNPCC7942_2146
SYNPCC7942_0759-MONOMER	hypothetical protein		SYNPCC7942_0759
SYNPCC7942_2514-MONOMER	ornithine carbamoyltransferase	CCI-CYTOSOL-GN	SYNPCC7942_2514
SYNPCC7942_1133-MONOMER	ATPase	CCO-MEMBRANE	SYNPCC7942_1133
SYNPCC7942_0009-MONOMER	argininosuccinate synthase	CCI-CYTOSOL-GN	SYNPCC7942_0009
SYNPCC7942_1498-MONOMER	hypothetical protein		SYNPCC7942_1498
SYNPCC7942_0378-MONOMER	Protein of unknown function DUF140	CCI-PM-BAC-NEG-GN	SYNPCC7942_0378
SYNPCC7942_1868-MONOMER	conserved hypothetical protein		SYNPCC7942_1868
SYNPCC7942_2130-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2130
SYNPCC7942_0743-MONOMER	conserved hypothetical protein		SYNPCC7942_0743
SYNPCC7942_2498-MONOMER	Band 7 protein	CCO-MEMBRANE	SYNPCC7942_2498
SYNPCC7942_1117-MONOMER	conserved hypothetical protein		SYNPCC7942_1117
SYNPCC7942_1482-MONOMER	conserved hypothetical protein		SYNPCC7942_1482
SYNPCC7942_0362-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0362
SYNPCC7942_1852-MONOMER	Precorrin-8X methylmutase		SYNPCC7942_1852
SYNPCC7942_2114-MONOMER	SasA histidine kinase monomer		SYNPCC7942_2114
SYNPCC7942_0727-MONOMER	conserved hypothetical protein		SYNPCC7942_0727
SYNPCC7942_2482-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2482
SYNPCC7942_1101-MONOMER	PDZ/DHR/GLGF		SYNPCC7942_1101
SYNPCC7942_1466-MONOMER			SYNPCC7942_1466
SYNPCC7942_0346-MONOMER	Protein of unknown function DUF152		SYNPCC7942_0346
SYNPCC7942_1836-MONOMER	conserved hypothetical protein		SYNPCC7942_1836
SYNPCC7942_0711-MONOMER	carbamoyl-phosphate synthase, large subunit		SYNPCC7942_0711
SYNPCC7942_2466-MONOMER	two component transcriptional regulator, winged helix family		SYNPCC7942_2466
SYNPCC7942_1085-MONOMER	1,4-alpha-glucan branching enzyme		SYNPCC7942_1085
SYNPCC7942_1450-MONOMER	ATPase	CCO-MEMBRANE	SYNPCC7942_1450
SYNPCC7942_0330-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0330
SYNPCC7942_1820-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1820
SYNPCC7942_0695-MONOMER	Protein of unknown function DUF193		SYNPCC7942_0695
SYNPCC7942_2450-MONOMER	general secretion pathway protein D	CCI-OUTER-MEM-GN	SYNPCC7942_2450
SYNPCC7942_1069-MONOMER	conserved hypothetical protein		SYNPCC7942_1069
SYNPCC7942_1434-MONOMER	conserved hypothetical protein		SYNPCC7942_1434
SYNPCC7942_0314-MONOMER	succinate dehydrogenase subunit C	CCO-MEMBRANE	SYNPCC7942_0314
SYNPCC7942_1804-MONOMER	conserved hypothetical protein		SYNPCC7942_1804
SYNPCC7942_0679-MONOMER	RNA-binding region RNP-1		SYNPCC7942_0679
SYNPCC7942_2434-MONOMER	acetolactate synthase, small subunit	CCI-CYTOSOL-GN	SYNPCC7942_2434
SYNPCC7942_1050-MONOMER	phycobilisome rod linker polypeptide (32 kDa)	CCI-THY-MEM-CYA-GN	SYNPCC7942_1050
SYNPCC7942_1418-MONOMER	hypothetical carboxysomal shell polypeptide CcmJ		SYNPCC7942_1418
SYNPCC7942_0298-MONOMER	hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_0298
SYNPCC7942_1788-MONOMER	conserved hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_1788
SYNPCC7942_0663-MONOMER	putative adenylate/guanylate cyclase	CCO-MEMBRANE	SYNPCC7942_0663
SYNPCC7942_2418-MONOMER	transcriptional regulator		SYNPCC7942_2418
SYNPCC7942_1033-MONOMER	conserved hypothetical protein		SYNPCC7942_1033
SYNPCC7942_1402-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1402
SYNPCC7942_0282-MONOMER	Glycine hydroxymethyltransferase	CCI-CYTOSOL-GN	SYNPCC7942_0282
SYNPCC7942_1772-MONOMER	30S ribosomal subunit protein S16	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN	SYNPCC7942_1772
SYNPCC7942_0279-MONOMER	NAD-reducing hydrogenase &alpha; subunit		SYNPCC7942_0279
SYNPCC7942_1769-MONOMER	conserved hypothetical protein		SYNPCC7942_1769
SYNPCC7942_0647-MONOMER	conserved hypothetical protein		SYNPCC7942_0647
SYNPCC7942_2399-MONOMER	conserved hypothetical protein		SYNPCC7942_2399
SYNPCC7942_1014-MONOMER	CheA signal transduction histidine kinase	CCI-CYTOSOL-GN	SYNPCC7942_1014
SYNPCC7942_1383-MONOMER	Inorganic diphosphatase	CCI-CYTOSOL-GN	SYNPCC7942_1383
SYNPCC7942_0263-MONOMER	Protein of unknown function DUF147	CCI-PM-BAC-NEG-GN	SYNPCC7942_0263
SYNPCC7942_1753-MONOMER	conserved hypothetical protein		SYNPCC7942_1753
SYNPCC7942_0631-MONOMER	50S ribosomal subunit protein L7/L12	CCI-RIBOSOME-GN	SYNPCC7942_0631
SYNPCC7942_2383-MONOMER	Nucleotide binding protein, PINc	CCO-MEMBRANE	SYNPCC7942_2383
SYNPCC7942_0998-MONOMER	ATP-dependent metalloprotease FtsH	CCI-THY-MEM-CYA-GN	SYNPCC7942_0998
SYNPCC7942_1370-MONOMER	hypothetical protein		SYNPCC7942_1370
SYNPCC7942_0247-MONOMER	ABC-type amino acid transport system, permease subunit	CCI-PM-BAC-NEG-GN	SYNPCC7942_0247
SYNPCC7942_1737-MONOMER	FeS assembly protein SufD		SYNPCC7942_1737
SYNPCC7942_0615-MONOMER	Rhodanese-like		SYNPCC7942_0615
SYNPCC7942_2367-MONOMER	conserved hypothetical protein		SYNPCC7942_2367
SYNPCC7942_0982-MONOMER	conserved hypothetical protein		SYNPCC7942_0982
SYNPCC7942_1354-MONOMER	putative export protein	CCO-MEMBRANE	SYNPCC7942_1354
SYNPCC7942_0231-MONOMER	putative acetyltransferase		SYNPCC7942_0231
SYNPCC7942_1721-MONOMER	PBS lyase HEAT-like repeat	CCI-THY-MEM-CYA-GN	SYNPCC7942_1721
SYNPCC7942_0599-MONOMER	putative transcriptional regulator, TetR family		SYNPCC7942_0599
SYNPCC7942_2089-MONOMER	Thioredoxin 2	CCO-MEMBRANE	SYNPCC7942_2089
SYNPCC7942_2351-MONOMER	Protein of unknown function DUF111		SYNPCC7942_2351
SYNPCC7942_0966-MONOMER	conserved hypothetical protein		SYNPCC7942_0966
SYNPCC7942_1338-MONOMER	conserved hypothetical protein		SYNPCC7942_1338
SYNPCC7942_0215-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0215
SYNPCC7942_1705-MONOMER	PsbI	CCI-THY-MEM-CYA-GN	SYNPCC7942_1705
SYNPCC7942_0583-MONOMER	Magnesium chelatase subunit I		SYNPCC7942_0583
SYNPCC7942_2073-MONOMER	Heat shock protein Hsp70-1		SYNPCC7942_2073
SYNPCC7942_2335-MONOMER	fructose-1,6-bisphosphatase I monomer	CCI-CYTOSOL-GN	SYNPCC7942_2335
SYNPCC7942_0950-MONOMER	sugar ABC transporter, substrate-binding protein		SYNPCC7942_0950
SYNPCC7942_1322-MONOMER	PsaE	CCI-THY-MEM-CYA-GN	SYNPCC7942_1322
SYNPCC7942_0199-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0199
SYNPCC7942_1689-MONOMER	rhodanese-like	CCI-PERI-BAC-GN	SYNPCC7942_1689
SYNPCC7942_0567-MONOMER	conserved hypothetical protein		SYNPCC7942_0567
SYNPCC7942_2057-MONOMER	Protein of unknown function DUF205	CCI-PM-BAC-NEG-GN	SYNPCC7942_2057
SYNPCC7942_2319-MONOMER	putative plasmid maintenance system antidote protein, XRE family		SYNPCC7942_2319
SYNPCC7942_0934-MONOMER	conserved hypothetical protein		SYNPCC7942_0934
SYNPCC7942_1306-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1306
SYNPCC7942_0183-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0183
SYNPCC7942_1673-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1673
SYNPCC7942_0551-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0551
SYNPCC7942_2041-MONOMER	integral membrane protein MviN	CCI-PM-BAC-NEG-GN	SYNPCC7942_2041
SYNPCC7942_2303-MONOMER	dihydropteroate synthase		SYNPCC7942_2303
SYNPCC7942_0918-MONOMER	long-chain-fatty-acid&mdash;[acyl-carrier-protein] ligase		SYNPCC7942_0918
SYNPCC7942_1290-MONOMER	SmtA metallothionein		SYNPCC7942_1290
SYNPCC7942_0167-MONOMER	hypothetical protein		SYNPCC7942_0167
SYNPCC7942_1657-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1657
SYNPCC7942_0535-MONOMER	PsaC	CCI-THY-MEM-CYA-GN	SYNPCC7942_0535
SYNPCC7942_2025-MONOMER	probable glycosyltransferase		SYNPCC7942_2025
SYNPCC7942_2287-MONOMER	conserved hypothetical protein		SYNPCC7942_2287
SYNPCC7942_0902-MONOMER	conserved hypothetical protein		SYNPCC7942_0902
SYNPCC7942_B2656-MONOMER	hypothetical protein		SYNPCC7942_B2656
SYNPCC7942_1274-MONOMER	TPR repeat	CCO-MEMBRANE	SYNPCC7942_1274
SYNPCC7942_0151-MONOMER	PsbAI-stimulating factor		SYNPCC7942_0151
SYNPCC7942_1641-MONOMER	hypothetical protein		SYNPCC7942_1641
SYNPCC7942_0519-MONOMER	hypothetical protein		SYNPCC7942_0519
SYNPCC7942_2009-MONOMER	conserved hypothetical protein		SYNPCC7942_2009
SYNPCC7942_2271-MONOMER	ADP-ribose pyrophosphatase		SYNPCC7942_2271
SYNPCC7942_0886-MONOMER	30S ribosomal subunit protein S7	CCI-RIBOSOME-GN	SYNPCC7942_0886
SYNPCC7942_B2640-MONOMER	conserved hypothetical protein		SYNPCC7942_B2640
SYNPCC7942_1258-MONOMER	conserved hypothetical protein		SYNPCC7942_1258
SYNPCC7942_0135-MONOMER	Methylase involved in ubiquinone/menaquinone biosynthesis		SYNPCC7942_0135
SYNPCC7942_1625-MONOMER	probable glycosyltransferase		SYNPCC7942_1625
SYNPCC7942_0503-MONOMER	hypothetical protein		SYNPCC7942_0503
SYNPCC7942_1993-MONOMER	Methylthioribulose-1-phosphate dehydratase	CCI-CYTOSOL-GN	SYNPCC7942_1993
SYNPCC7942_2255-MONOMER	conserved hypothetical protein		SYNPCC7942_2255
SYNPCC7942_0870-MONOMER	conserved hypothetical protein		SYNPCC7942_0870
SYNPCC7942_B2624-MONOMER	&gamma;-glutamyltransferase 2		SYNPCC7942_B2624
SYNPCC7942_1242-MONOMER	nitrate assimilation transcriptional activator		SYNPCC7942_1242
SYNPCC7942_0118-MONOMER	glutamyl-tRNA(Gln) amidotransferase, B subunit		SYNPCC7942_0118
SYNPCC7942_1609-MONOMER	ribonucleoside-diphosphate reductase		SYNPCC7942_1609
SYNPCC7942_0487-MONOMER	Peptidase S26A, signal peptidase I	CCO-MEMBRANE	SYNPCC7942_0487
SYNPCC7942_1977-MONOMER	ferredoxin-plastoquinone oxidoreductase subunit F1	CCO-MEMBRANE	SYNPCC7942_1977
SYNPCC7942_2239-MONOMER	conserved hypothetical protein		SYNPCC7942_2239
SYNPCC7942_0854-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0854
SYNPCC7942_2607-MONOMER	exodeoxyribonuclease III exodeoxyribonuclease III (xth)		SYNPCC7942_2607
SYNPCC7942_1226-MONOMER	processing protease		SYNPCC7942_1226
SYNPCC7942_0102-MONOMER	conserved hypothetical protein		SYNPCC7942_0102
SYNPCC7942_1593-MONOMER	aldehyde decarbonylase		SYNPCC7942_1593
SYNPCC7942_0471-MONOMER	ABC-type sugar transport system permease component	CCI-PM-BAC-NEG-GN	SYNPCC7942_0471
SYNPCC7942_1961-MONOMER	ferripyochelin binding protein		SYNPCC7942_1961
SYNPCC7942_2223-MONOMER	30S ribosomal subunit protein S17	CCI-RIBOSOME-GN	SYNPCC7942_2223
SYNPCC7942_0837-MONOMER	conserved hypothetical protein		SYNPCC7942_0837
SYNPCC7942_2591-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2591
SYNPCC7942_1210-MONOMER	conserved hypothetical protein		SYNPCC7942_1210
SYNPCC7942_0086-MONOMER			SYNPCC7942_0086
SYNPCC7942_1577-MONOMER	arginyl-tRNA synthetase	CCI-CYTOSOL-GN	SYNPCC7942_1577
SYNPCC7942_0455-MONOMER	Queuine tRNA-ribosyltransferase		SYNPCC7942_0455
SYNPCC7942_1945-MONOMER	excinuclease ABC, C subunit	CCI-CYTOSOL-GN	SYNPCC7942_1945
SYNPCC7942_2207-MONOMER	tRNA pseudouridine synthase A		SYNPCC7942_2207
SYNPCC7942_0820-MONOMER	conserved hypothetical protein		SYNPCC7942_0820
SYNPCC7942_2575-MONOMER	Mn transporter MntC		SYNPCC7942_2575
SYNPCC7942_1194-MONOMER	pyridoxal phosphate biosynthetic protein PdxJ	CCI-CYTOSOL-GN	SYNPCC7942_1194
SYNPCC7942_0070-MONOMER	conserved hypothetical protein		SYNPCC7942_0070
SYNPCC7942_1561-MONOMER	conserved hypothetical protein		SYNPCC7942_1561
SYNPCC7942_0439-MONOMER	magnesium protoporphyrin O-methyltransferase		SYNPCC7942_0439
SYNPCC7942_1929-MONOMER	cysteine desulfurase		SYNPCC7942_1929
SYNPCC7942_2191-MONOMER	conserved hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_2191
SYNPCC7942_0804-MONOMER	4-hydroxythreonine-4-phosphate dehydrogenase	CCI-CYTOSOL-GN	SYNPCC7942_0804
SYNPCC7942_2559-MONOMER	50S ribosomal subunit protein L9	CCI-RIBOSOME-GN	SYNPCC7942_2559
SYNPCC7942_1178-MONOMER	photosystem II stability/assembly factor		SYNPCC7942_1178
SYNPCC7942_0054-MONOMER	conserved hypothetical protein		SYNPCC7942_0054
SYNPCC7942_1545-MONOMER	plasmid stabilization protein StbB-like		SYNPCC7942_1545
SYNPCC7942_0423-MONOMER	conserved hypothetical protein		SYNPCC7942_0423
SYNPCC7942_1913-MONOMER	conserved hypothetical protein		SYNPCC7942_1913
SYNPCC7942_2175-MONOMER	IdiA	CCI-THY-MEM-CYA-GN	SYNPCC7942_2175
SYNPCC7942_0788-MONOMER	glutathione S-transferase		SYNPCC7942_0788
SYNPCC7942_2543-MONOMER	phage SPO1 DNA polymerase-related protein		SYNPCC7942_2543
SYNPCC7942_1162-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1162
SYNPCC7942_0038-MONOMER	mutator MutT protein		SYNPCC7942_0038
SYNPCC7942_1528-MONOMER	conserved hypothetical protein YCF49	CCO-MEMBRANE	SYNPCC7942_1528
SYNPCC7942_0407-MONOMER	PsaK	CCI-THY-MEM-CYA-GN	SYNPCC7942_0407
SYNPCC7942_1897-MONOMER	putative transcripton factor DevT-like		SYNPCC7942_1897
SYNPCC7942_2159-MONOMER	conserved hypothetical protein		SYNPCC7942_2159
SYNPCC7942_0772-MONOMER	conserved hypothetical protein		SYNPCC7942_0772
SYNPCC7942_2527-MONOMER	esterase-like		SYNPCC7942_2527
SYNPCC7942_1146-MONOMER	conserved hypothetical protein		SYNPCC7942_1146
SYNPCC7942_0022-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0022
SYNPCC7942_1512-MONOMER	Carotene 7,8-desaturase		SYNPCC7942_1512
SYNPCC7942_0391-MONOMER	conserved hypothetical protein		SYNPCC7942_0391
SYNPCC7942_1881-MONOMER	L-aspartate oxidase	CCI-CYTOSOL-GN	SYNPCC7942_1881
SYNPCC7942_2143-MONOMER	tryptophan synthase, beta subunit		SYNPCC7942_2143
SYNPCC7942_0756-MONOMER	lysozyme		SYNPCC7942_0756
SYNPCC7942_2511-MONOMER	conserved hypothetical protein		SYNPCC7942_2511
SYNPCC7942_1130-MONOMER	protein serine/threonine phosphatases		SYNPCC7942_1130
SYNPCC7942_0006-MONOMER	hypothetical protein		SYNPCC7942_0006
SYNPCC7942_1495-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1495
SYNPCC7942_0375-MONOMER	processing protease		SYNPCC7942_0375
SYNPCC7942_1865-MONOMER	NAD(+) kinase 2	CCI-CYTOSOL-GN	SYNPCC7942_1865
SYNPCC7942_2127-MONOMER	phycobilisome degradation protein NblA		SYNPCC7942_2127
SYNPCC7942_0740-MONOMER	phage P2 protein GPJ		SYNPCC7942_0740
SYNPCC7942_2495-MONOMER	branched-chain amino acid ABC transporter integral membrane protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_2495
SYNPCC7942_1114-MONOMER	GTP-binding	CCI-CYTOSOL-GN	SYNPCC7942_1114
MONOMER490-11	hypothetical protein		G490-4
SYNPCC7942_1479-MONOMER	PetG	CCI-THY-MEM-CYA-GN	SYNPCC7942_1479
SYNPCC7942_0359-MONOMER	conserved hypothetical protein		SYNPCC7942_0359
SYNPCC7942_1849-MONOMER	RNA polymerase sigma factor SigA5		SYNPCC7942_1849
SYNPCC7942_2111-MONOMER	xylose repressor		SYNPCC7942_2111
SYNPCC7942_0724-MONOMER	conserved hypothetical protein		SYNPCC7942_0724
SYNPCC7942_2479-MONOMER	pilin-like protein	CCO-MEMBRANE	SYNPCC7942_2479
SYNPCC7942_1098-MONOMER	conserved hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_1098
SYNPCC7942_1463-MONOMER	probable iron porin	CCO-MEMBRANE	SYNPCC7942_1463
