Proteins,Common-Name,"Genes of polypeptide, complex, or RNA",Locations
STM0212-MONOMER,MFS transporter,STM0212,CCI-PM-BAC-NEG-GN
STM2018-MONOMER,bifunctional adenosylcobalamin biosynthesis protein CobU subunit,STM2018,
STM4037-MONOMER,formate dehydrogenase O alpha subunit,STM4037,CCI-PERI-BAC-GN // CCO-MEMBRANE
STM2386-MONOMER,hypothetical protein,STM2386,
STM3148-MONOMER,Ni/Fe-hydrogenase cytochrome b subunit,STM3148,CCI-PM-BAC-NEG-GN
STM4421-MONOMER,methylmalonate-semialdehyde dehydrogenase (acylating),STM4421,
STM3526-MONOMER,glycerol-3-phosphate dehydrogenase,STM3526,CCI-CYTOSOL-GN
STM0867-MONOMER,sugar-phosphatase,STM0867,CCI-CYTOSOL-GN
STM1740-MONOMER,dsDNA-mimic protein,STM1740,
STM3904-MONOMER,dihydroxy-acid dehydratase,STM3904,CCI-CYTOSOL-GN
STM1244-MONOMER,virulence factor,STM1244,
STM0328-MONOMER,putative permease,STM0328,CCI-PM-BAC-NEG-GN
STM4298-MONOMER,alpha-galactosidase,STM4298,
STM1620-MONOMER,lactate oxidase,STM1620,CCI-PM-BAC-NEG-GN
STM2119-MONOMER,putative inner membrane protein,STM2119,CCI-PM-BAC-NEG-GN
STM0196-MONOMER,outer membrane usher protein,STM0196,CCI-OUTER-MEM-GN
STM1996-MONOMER,putative cold-shock protein,STM1996,CCI-CYTOSOL-GN
STM2877-MONOMER,invasion protein,STM2877,
STM2370-MONOMER,4-phosphoerythronate dehydrogenase,STM2370,CCI-CYTOSOL-GN
STM3132-MONOMER,xylanase deacetylase,STM3132,
STM2497-MONOMER,uracil permease,STM2497,CCI-PM-BAC-NEG-GN
STM2755-MONOMER,3-hexulose-6-phosphate synthase,STM2755,
STM0850-MONOMER,glutathione ABC transporter permease,STM0850,CCI-PM-BAC-NEG-GN
STM0583-MONOMER,glutamate--cysteine ligase,STM0583,
STM3512-MONOMER,high-affinity gluconate permease in GNT I system,STM3512,CCI-PM-BAC-NEG-GN
STM3880-MONOMER,potassium transporter,STM3880,CCI-PM-BAC-NEG-GN
STM3254-MONOMER,1-phosphofructokinase,STM3254,CCI-CYTOSOL-GN
STM1228-MONOMER,putative periplasmic protein,STM1228,
STM4282-MONOMER,formate-dependent nitrite reductase complex subunit,STM4282,CCI-PM-BAC-NEG-GN
STM3630-MONOMER,dipeptide transport protein,STM3630,CCI-PERI-BAC-GN // CCI-PM-BAC-NEG-GN
STM1604-MONOMER,protease,STM1604,
STM0180-MONOMER,aspartate 1-decarboxylase proenzyme,STM0180,CCI-CYTOSOL-GN
STM0975-MONOMER,ribosomal protein S12 methylthiotransferase accessory factor,STM0975,
STM1978-MONOMER,flagellar biosynthesis protein,STM1978,CCI-PM-BAC-NEG-GN // CCO-CELL-PROJECTION
STM2354-MONOMER,histidine ABC transporter substrate-binding protein,STM2354,CCI-PERI-BAC-GN
STM1349-MONOMER,phosphoenolpyruvate synthase,STM1349,
STM3115-MONOMER,putative inner membrane protein,STM3115,CCO-MEMBRANE
STM2739-MONOMER,Fels-2 prophage protein,STM2739,
PSLT036-MONOMER,"putative transposase, IS200-like",PSLT036,
STM0834-MONOMER,phosphoethanolamine transferase,STM0834,CCI-PM-BAC-NEG-GN
STM3496-MONOMER,GMP/IMP nucleotidase,STM3496,CCI-CYTOSOL-GN
STM1346-MONOMER,hemin uptake protein hemP,STM1346,
STM3864-MONOMER,F0F1 ATP synthase subunit epsilon,STM3864,CCI-PM-BAC-NEG-GN
STM1212-MONOMER,putative outer membrane lipoprotein,STM1212,CCO-MEMBRANE
PSLT033-MONOMER,putative inner membrane protein,PSLT033,
STM1588-MONOMER,colanic acid/biofilm transcriptional regulator,STM1588,
STM0164-MONOMER,DeoR family transcriptional regulator,STM0164,
STM4018-MONOMER,"putative 2,3-dihydroxypropane-1-sulfonate exporter",STM4018,CCI-PM-BAC-NEG-GN
STM4269-MONOMER,Na+/H+ antiporter,STM4269,CCI-PM-BAC-NEG-GN
STM1962-MONOMER,flagellar biosynthesis protein,STM1962,CCI-CYTOSOL-GN
STM4402-MONOMER,putative transcriptional regulator,STM4402,
STM2338-MONOMER,phosphate acetyltransferase,STM2338,CCI-CYTOSOL-GN
STM3099-MONOMER,type IV pili twitching motility protein,STM3099,
STM1721-MONOMER,phosphatase,STM1721,
STM2722-MONOMER,Fels-2 prophage protein,STM2722,
STM0817-MONOMER,multidrug ABC transporter ATP-binding protein,STM0817,
STM0306-MONOMER,adhesin,STM0306,CCI-OUTER-MEM-GN
STM3480-MONOMER,DUF4223 domain-containing protein,STM3480,
STM3848-MONOMER,putative LysR family transcriptional regulator,STM3848,
STM2100-MONOMER,colanic acid biosynthesis glycosyltransferase,STM2100,
STM1196-MONOMER,acyl carrier protein,STM1196,CCI-CYTOSOL-GN
STM1572-MONOMER,outer membrane porin protein,STM1572,CCI-OUTER-MEM-GN
STM2858-MONOMER,putative hydrogenase expression/formation protein,STM2858,
STM0148-MONOMER,alpha-N-arabinofuranosidase,STM0148,
STM4253-MONOMER,putative outer membrane lipoprotein,STM4253,
STM2478-MONOMER,penicillin-binding protein PBP4B,STM2478,CCI-PM-BAC-NEG-GN
STM1946-MONOMER,excinuclease ABC subunit C,STM1946,CCI-CYTOSOL-GN
STM2322-MONOMER,NADH-quinone oxidoreductase subunit H,STM2322,CCI-PM-BAC-NEG-GN
STM0564-MONOMER,pyridine nucleotide-disulfide oxidoreductase,STM0564,CCI-CYTOSOL-GN
STM3083-MONOMER,fructuronate reductase,STM3083,
STM2706-MONOMER,Fels-2 prophage protein,STM2706,
STM3234-MONOMER,putative inner membrane protein,STM3234,CCI-PM-BAC-NEG-GN
STM0800-MONOMER,E3 ubiquitin--protein ligase,STM0800,CCI-EXTRACELLULAR-GN
STM3464-MONOMER,putative phosphoribulokinase,STM3464,CCI-CYTOSOL-GN
STM3612-MONOMER,ketodeoxygluconokinase,STM3612,CCI-CYTOSOL-GN
STM3831-MONOMER,sugar-phosphatase,STM3831,CCI-CYTOSOL-GN
STM1179-MONOMER,flagellar basal-body rod protein,STM1179,CCO-CELL-PROJECTION
STM0955-MONOMER,leucyl/phenylalanyl-tRNA--protein transferase,STM0955,CCI-CYTOSOL-GN
STM1556-MONOMER,Na+/H+ antiporter,STM1556,CCI-PM-BAC-NEG-GN
STM0132-MONOMER,cell division protein,STM0132,CCI-PM-BAC-NEG-GN
STM1330-MONOMER,endonuclease,STM1330,
STM4237-MONOMER,repressor,STM4237,
STM1926-MONOMER,putative cytoplasmic protein,STM1926,
PSLT015-MONOMER,putative outer membrane protein,PSLT015,
STM0513-MONOMER,tRNA 2-selenouridine(34) synthase,STM0513,
STM2306-MONOMER,o-succinylbenzoate synthase,STM2306,
STM4002-MONOMER,putative cytoplasmic protein,STM4002,
STM3067-MONOMER,mechanosensitive ion channel protein,STM3067,CCI-PM-BAC-NEG-GN
STM2688-MONOMER,SsrA-binding protein,STM2688,CCI-CYTOSOL-GN
STM4386-MONOMER,3-keto-L-gulonate-6-phosphate decarboxylase,STM4386,
STM0783-MONOMER,molybdenum ABC transporter ATP-binding protein,STM0783,CCI-PM-BAC-NEG-GN
STM3447-MONOMER,30S ribosomal protein S7,STM3447,CCI-RIBOSOME-GN
STM1705-MONOMER,osmotically inducible lipoprotein,STM1705,CCI-PM-BAC-NEG-GN
STM3815-MONOMER,cytochrome c biogenesis protein,STM3815,CCI-PM-BAC-NEG-GN
STM1163-MONOMER,dihydroorotase,STM1163,CCI-CYTOSOL-GN
STM0288-MONOMER,putative cytoplasmic protein,STM0288,
STM1539-MONOMER,hydrogenase-5 small subunit,STM1539,CCI-PERI-BAC-GN // CCO-MEMBRANE
STM0116-MONOMER,"valine sensitive acetolactate synthase III, large subunit",STM0116,
STM2084-MONOMER,mannose-1-phosphate guanylyltransferase,STM2084,
STM4221-MONOMER,glucose-6-phosphate isomerase,STM4221,CCI-CYTOSOL-GN
STM4594-MONOMER,fimbrial assembly chaperone,STM4594,CCI-PERI-BAC-GN
STM2842-MONOMER,carbamoyltransferase,STM2842,
STM1910-MONOMER,penicillin-binding protein 2,STM1910,CCI-PM-BAC-NEG-GN
STM0497-MONOMER,putative periplasmic protein,STM0497,
STM2462-MONOMER,ethanolamine utilization protein,STM2462,
STM2290-MONOMER,MFS transporter,STM2290,CCI-PM-BAC-NEG-GN
STM3051-MONOMER,6-phospho-beta-glucosidase,STM3051,CCI-CYTOSOL-GN
STM0544-MONOMER,fimbrial protein,STM0544,CCI-PILUS-GN
STM2672-MONOMER,diguanylate cyclase,STM2672,CCI-PM-BAC-NEG-GN
STM0766-MONOMER,oxaloacetate decarboxylase subunit gamma,STM0766,CCI-PM-BAC-NEG-GN
STM3218-MONOMER,putative acetylornithine aminotransferase,STM3218,
STM3431-MONOMER,30S ribosomal protein S17,STM3431,CCI-RIBOSOME-GN
STM3798-MONOMER,multidrug transporter,STM3798,CCI-PM-BAC-NEG-GN
STM3596-MONOMER,23S rRNA (adenine(2030)-N(6))-methyltransferase,STM3596,CCI-CYTOSOL-GN
STM1147-MONOMER,O-acetyl-ADP-ribose deacetylase,STM1147,
STM1523-MONOMER,putative LysR family transcriptional regulator,STM1523,
STM0936-MONOMER,NADH oxidoreductase for hcp gene product,STM0936,
STM0100-MONOMER,DUF4751 domain-containing protein,STM0100,
STM4205-MONOMER,glycosyltransferase,STM4205,CCI-PM-BAC-NEG-GN
STM1314-MONOMER,PTS N N'-diacetylchitobiose transporter subunit IIA,STM1314,
STM4578-MONOMER,phosphoserine phosphatase,STM4578,CCI-CYTOSOL-GN
STM1894-MONOMER,Holliday junction DNA helicase,STM1894,
MONOMER1R65-20,PanD &alpha; cleavage product,STM0180,
STM0481-MONOMER,primosomal replication protein N,STM0481,
STM2274-MONOMER,MFS transporter,STM2274,CCI-PM-BAC-NEG-GN
STM3980-MONOMER,putative outer membrane protein,STM3980,
STM3033-MONOMER,VapC toxin family PIN domain ribonuclease,STM3033,
STM2651-MONOMER,protein lysine acetyltransferase,STM2651,
STM4370-MONOMER,putative cytoplasmic protein,STM4370,
STM0745-MONOMER,"tol protein, membrane-spanning inner membrane protein",STM0745,CCI-PM-BAC-NEG-GN
STM3415-MONOMER,DNA-directed RNA polymerase subunit alpha,STM3415,CCI-CYTOSOL-GN
STM1690-MONOMER,phage shock protein,STM1690,CCI-CYTOSOL-GN
STM3785-MONOMER,putative gntR family regulatory protein,STM3785,
STM1130-MONOMER,<i>N</i>-acetylneuraminate epimerase,STM1130,CCI-PERI-BAC-GN
STM0273-MONOMER,type VI secretion system-associated protein,STM0273,
STM1507-MONOMER,putative transport protein,STM1507,CCI-PM-BAC-NEG-GN
STM0084-MONOMER,acid-inducible sulfatase,STM0084,
STM2068-MONOMER,putative APC family amino acid transport protein,STM2068,CCI-PM-BAC-NEG-GN
STM4189-MONOMER,PNaS family transporter,STM4189,CCI-PM-BAC-NEG-GN
STM4562-MONOMER,putative inner membrane protein,STM4562,
STM2826-MONOMER,carbon storage regulator,STM2826,CCI-CYTOSOL-GN
STM1878-MONOMER,exodeoxyribonuclease X,STM1878,CCI-CYTOSOL-GN
STM0464-MONOMER,acyl-CoA thioesterase II,STM0464,CCI-CYTOSOL-GN
STM2446-MONOMER,peroxidase,STM2446,CCI-CYTOSOL-GN
STM2257-MONOMER,quinol dehydrogenase ferredoxin subunit,STM2257,CCI-PM-BAC-NEG-GN
STM3017-MONOMER,2-deoxy-D-gluconate 3-dehydrogenase,STM3017,
STM0528-MONOMER,ureidoglycolate dehydrogenase,STM0528,
STM2634-MONOMER,hypothetical protein,STM2634,
STM0729-MONOMER,AbrB family transcriptional regulator,STM0729,CCO-MEMBRANE
STM3201-MONOMER,bifunctional glutamine synthetase adenylyltransferase/deadenyltransferase,STM3201,CCI-CYTOSOL-GN
STM3399-MONOMER,gamma carbonic anhydrase family protein,STM3399,
STM3769-MONOMER,putative phosphotransferase system enzyme II,STM3769,CCI-PM-BAC-NEG-GN
STM3580-MONOMER,putative inner membrane lipoprotein,STM3580,
STM1113-MONOMER,copper resistance protein,STM1113,CCO-MEMBRANE
STM1491-MONOMER,glycine/betaine ABC transporter ATP-binding protein,STM1491,CCI-PM-BAC-NEG-GN
STM0920-MONOMER,Fels-1 prophage attachment and invasion protein,STM0920,CCI-OUTER-MEM-GN
STM0068-MONOMER,CaiF/GrlA family transcriptional regulator,STM0068,
STM4169-MONOMER,Uncharacterized protein,STM4169,
STM1298-MONOMER,DNA topoisomerase III,STM1298,
STM4543-MONOMER,DNA replication protein,STM4543,
STM1863-MONOMER,putative inner membrane protein,STM1863,CCO-MEMBRANE
STM3964-MONOMER,LysR family transcriptional regulator,STM3964,CCI-CYTOSOL-GN
STM0448-MONOMER,"ATP-dependent Clp endopeptidase, proteolytic subunit",STM0448,CCI-CYTOSOL-GN
STM2241-MONOMER,E3 ubiquitin--protein ligase,STM2241,CCI-EXTRACELLULAR-GN // CCO-MEMBRANE
STM4351-MONOMER,arginine ABC transporter substrate-binding protein,STM4351,CCI-PERI-BAC-GN // CCO-MEMBRANE
STM3001-MONOMER,thymidylate synthase,STM3001,CCI-CYTOSOL-GN
STM2618-MONOMER,Gifsy-1 prophage protein,STM2618,
STM1674-MONOMER,TetR family transcriptional regulator,STM1674,
STM0713-MONOMER,putative carboxylase,STM0713,
STM3377-MONOMER,mononuclear molybdenum enzyme,STM3377,CCI-PERI-BAC-GN
STM0256-MONOMER,putative LysR family transcriptional regulator,STM0256,
STM3753-MONOMER,ATP-binding protein,STM3753,
STM1097-MONOMER,hydroxyisourate hydrolase,STM1097,CCI-PERI-BAC-GN
STM2052-MONOMER,propanol dehydrogenase,STM2052,CCI-CYTOSOL-GN // CCO-MEMBRANE
STM1475-MONOMER,two-component system response regulator,STM1475,CCI-CYTOSOL-GN
STM0052-MONOMER,response regulator,STM0052,CCI-CYTOSOL-GN
STM2805-MONOMER,NrdH-redoxin,STM2805,
STM4153-MONOMER,DNA-directed RNA polymerase subunit beta,STM4153,
STM4527-MONOMER,restriction endonuclease,STM4527,CCI-BAC-NUCLEOID-GN
STM2430-MONOMER,cysteine synthase A,STM2430,CCI-CYTOSOL-GN
STM1847-MONOMER,putative GAF domain-containing protein,STM1847,CCI-CYTOSOL-GN
STM0433-MONOMER,DJ-1 family protein,STM0433,CCI-CYTOSOL-GN
STM3185-MONOMER,ADP-ribose diphosphatase,STM3185,CCI-CYTOSOL-GN
STM2224-MONOMER,50S ribosomal protein L25,STM2224,CCI-RIBOSOME-GN
STM2983-MONOMER,putative lipoprotein,STM2983,CCI-PM-BAC-NEG-GN
STM3564-MONOMER,leucine ABC transporter subunit substrate-binding protein,STM3564,CCI-PERI-BAC-GN
STM2601-MONOMER,Gifsy-1 prophage protein,STM2601,
STM0697-MONOMER,replication initiation regulator,STM0697,CCI-CYTOSOL-GN
STM0904-MONOMER,Fels-1 prophage protein,STM0904,
STM3361-MONOMER,putative outer membrane protein,STM3361,
STM3736-MONOMER,putative LysR family transcriptional regulator,STM3736,
STM3948-MONOMER,DUF484 family protein,STM3948,
STM1080-MONOMER,23S rRNA (cytosine(1962)-C(5))-methyltransferase,STM1080,CCI-CYTOSOL-GN
STM1456-MONOMER,electron transport complex subunit,STM1456,CCI-PM-BAC-NEG-GN
STM1285-MONOMER,PrkA family serine protein kinase,STM1285,
STM0036-MONOMER,anaerobic sulfatase maturase,STM0036,
STM4126-MONOMER,NAD(P)(+) transhydrogenase,STM4126,CCI-CYTOSOL-GN
STM4335-MONOMER,putative entericidin A precursor,STM4335,
STM4511-MONOMER,putative LysR family transcriptional regulator,STM4511,
STM1831-MONOMER,PTS mannose/fructose/sorbose transporter subunit IIC,STM1831,CCI-PM-BAC-NEG-GN
STM1657-MONOMER,chemoreceptor protein,STM1657,CCI-PM-BAC-NEG-GN
STM0416-MONOMER,riboflavin biosynthesis protein,STM0416,
STM2207-MONOMER,sugar efflux transporter,STM2207,CCI-PM-BAC-NEG-GN
STM0233-MONOMER,chitinase,STM0233,
STM2965-MONOMER,putative cytoplasmic protein,STM2965,
STM2585A-MONOMER,Gifsy-1 prophage protein,STM2585A,
STM2036-MONOMER,Regulatory protein,STM2036,
STM0680-MONOMER,asparagine synthetase B,STM0680,CCI-CYTOSOL-GN
STM3345-MONOMER,50S ribosomal protein L13,STM3345,CCI-RIBOSOME-GN
STM2789-MONOMER,putative cytoplasmic protein,STM2789,
STM3720-MONOMER,putative inner membrane protein,STM3720,
STM1064-MONOMER,paraquat-inducible protein B,STM1064,CCO-MEMBRANE
STM2408-MONOMER,divalent metal cation transporter,STM2408,CCI-PM-BAC-NEG-GN
STM1440-MONOMER,superoxide dismutase [Cu-Zn] 2,STM1440,CCI-PERI-BAC-GN // CCI-EXTRACELLULAR-GN
STM0020-MONOMER,putative cytoplasmic protein,STM0020,
STM3169-MONOMER,C4-dicarboxylate ABC transporter substrate-binding protein,STM3169,CCI-PERI-BAC-GN
STM4108-MONOMER,glycerol dehydrogenase,STM4108,CCI-CYTOSOL-GN
STM4495-MONOMER,type II restriction enzyme methylase subunit,STM4495,
STM3548-MONOMER,putative cytoplasmic protein,STM3548,
STM1815-MONOMER,septum site-determining protein,STM1815,CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
STM0400-MONOMER,proline-specific permease,STM0400,CCI-PM-BAC-NEG-GN
STM0889-MONOMER,arginine transporter permease subunit,STM0889,CCI-PM-BAC-NEG-GN
STM2191-MONOMER,DNA-binding transcriptional regulator,STM2191,
STM2949-MONOMER,6-carboxytetrahydropterin synthase,STM2949,
STM3927-MONOMER,4-alpha-L-fucosyltransferase,STM3927,CCI-PM-BAC-NEG-GN
STM2570-MONOMER,PTS sugar transporter subunit IIC,STM2570,CCI-PM-BAC-NEG-GN
STM0657-MONOMER,putative cytoplasmic protein,STM0657,
STM1269-MONOMER,putative chorismate mutase,STM1269,CCI-PERI-BAC-GN
STM3329-MONOMER,TIGR01212 family radical SAM protein,STM3329,
STM3704-MONOMER,phosphoglycerate mutase,STM3704,CCI-CYTOSOL-GN
STM4319-MONOMER,non-specific acid phosphatase,STM4319,CCI-PERI-BAC-GN
STM1047-MONOMER,Gifsy-2 prophage probable tail assembly protein,STM1047,
STM1422-MONOMER,EscU/YscU/HrcU family type III secretion system export apparatus switch protein,STM1422,CCI-PM-BAC-NEG-GN
STM1641-MONOMER,ATP-dependent RNA helicase,STM1641,
STM0004-MONOMER,threonine synthase,STM0004,
STM4092-MONOMER,HslU--HslV peptidase proteolytic subunit,STM4092,CCI-CYTOSOL-GN
STM0217-MONOMER,translation elongation factor Ts,STM0217,CCI-CYTOSOL-GN
STM4478-MONOMER,putative cytoplasmic protein,STM4478,
STM1799-MONOMER,lytic murein transglycosylase,STM1799,CCI-OUTER-MEM-GN
STM2023-MONOMER,cobalt transport protein,STM2023,CCI-PM-BAC-NEG-GN
STM0384-MONOMER,Induced by phosphate starvation,STM0384,
STM2175-MONOMER,salicylate hydroxylase,STM2175,
STM2391-MONOMER,transport of long-chain fatty acids,STM2391,
STM2933-MONOMER,adenylyl-sulfate kinase,STM2933,
STM2553-MONOMER,stationary phase inducible protein,STM2553,
STM3153-MONOMER,hypothetical protein,STM3153,CCI-PM-BAC-NEG-GN
STM0641-MONOMER,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase,STM0641,CCI-CYTOSOL-GN
STM3313-MONOMER,phospholipid ABC transporter ATP-binding protein,STM3313,
STM3532-MONOMER,dihydrodipicolinate synthase family protein,STM3532,CCI-CYTOSOL-GN
STM3688-MONOMER,Uncharacterized protein,STM3688,
STM1031-MONOMER,Gifsy-2 prophage protein,STM1031,
STM0872-MONOMER,glutaredoxin,STM0872,
STM1406-MONOMER,secretion system apparatus,STM1406,
PSLT098-MONOMER,conjugative transfer: fimbrial synthesis,PSLT098,CCO-MEMBRANE
STM3909-MONOMER,ketol-acid reductoisomerase,STM3909,CCI-CYTOSOL-GN
STM4076-MONOMER,putative sugar transport protein,STM4076,
STM4462-MONOMER,putative cytoplasmic protein,STM4462,
STM1252-MONOMER,putative cytoplasmic protein,STM1252,
STM1783-MONOMER,peptidyl-tRNA hydrolase,STM1783,
STM0368-MONOMER,methylisocitrate lyase subunit,STM0368,
STM4303-MONOMER,two-component system response regulator,STM4303,CCI-CYTOSOL-GN
STM2159-MONOMER,sensor histidine kinase,STM2159,CCI-PM-BAC-NEG-GN
STM2917-MONOMER,3-oxo-tetronate kinase,STM2917,
STM1625-MONOMER,putative LysR family transcriptional regulator,STM1625,CCI-CYTOSOL-GN
STM2537-MONOMER,Fe-S assembly protein,STM2537,CCI-CYTOSOL-GN
STM0625-MONOMER,histidine kinase,STM0625,CCI-PM-BAC-NEG-GN
STM0201-MONOMER,Uncharacterized protein,STM0201,
STM3296-MONOMER,ATP-dependent metalloprotease,STM3296,CCI-PM-BAC-NEG-GN
STM3672-MONOMER,L-dehydroascorbate transporter large permease subunit,STM3672,CCI-PM-BAC-NEG-GN
STM2005-MONOMER,peptidase,STM2005,
STM1015-MONOMER,Gifsy-2 prophage ATPase involved in DNA replication initiation,STM1015,
STM1390-MONOMER,helix-turn-helix-type transcriptional regulator,STM1390,
STM2375-MONOMER,putative cytoplasmic protein,STM2375,
PSLT080-MONOMER,conjugative transfer: assembly,PSLT080,
STM4060-MONOMER,stress adaptor protein,STM4060,CCI-PERI-BAC-GN
STM3137-MONOMER,glucuronate isomerase,STM3137,
STM4445-MONOMER,putative dihydroorotase,STM4445,
STM1767-MONOMER,two-component system response regulator,STM1767,
STM2760-MONOMER,DNA-binding protein,STM2760,
STM0352-MONOMER,efflux transporter periplasmic adaptor subunit,STM0352,CCI-PM-BAC-NEG-GN
STM2144-MONOMER,putative sugar kinase,STM2144,CCI-CYTOSOL-GN
STM0855-MONOMER,putative electron transfer flavoprotein beta subunit,STM0855,CCI-CYTOSOL-GN
STM2901-MONOMER,putative cytoplasmic protein,STM2901,
STM2521-MONOMER,putative inner membrane protein,STM2521,CCI-PM-BAC-NEG-GN
STM3517-MONOMER,antitoxin,STM3517,
STM0609-MONOMER,alkyl hydroperoxide reductase AhpF component,STM0609,
STM3278-MONOMER,putative cytoplasmic protein,STM3278,
STM3885-MONOMER,ribokinase,STM3885,CCI-CYTOSOL-GN
STM3656-MONOMER,glycine--tRNA ligase subunit alpha,STM3656,CCI-CYTOSOL-GN
STM0999-MONOMER,phosphoporin,STM0999,CCI-OUTER-MEM-GN
STM1233-MONOMER,unknown membrane associated protein,STM1233,
STM1374-MONOMER,cysteine desufuration protein,STM1374,CCI-CYTOSOL-GN
PSLT061-MONOMER,putative inner membrane protein,PSLT061,
STM4287-MONOMER,aminoalkylphosphonate N-acetyltransferase,STM4287,CCI-CYTOSOL-GN
STM4044-MONOMER,L-lactaldehyde reductase,STM4044,CCI-CYTOSOL-GN
STM4429-MONOMER,putative cytoplasmic protein,STM4429,
STM1609-MONOMER,dicarboxylate transporter/tellurite-resistance protein,STM1609,CCI-PM-BAC-NEG-GN
STM1748-MONOMER,hypothetical protein,STM1748,CCI-PM-BAC-NEG-GN
STM0336-MONOMER,fimbrial assembly protein,STM0336,CCI-PERI-BAC-GN
STM0185-MONOMER,putative glutamyl t-RNA synthetase,STM0185,
STM2127-MONOMER,multidrug transporter subunit,STM2127,CCI-PM-BAC-NEG-GN
STM2885-MONOMER,pathogenicity island 1 effector protein,STM2885,CCI-EXTRACELLULAR-GN // CCO-MEMBRANE
STM1984-MONOMER,putative cytoplasmic protein,STM1984,
STM2505-MONOMER,putative inner membrane protein,STM2505,
STM0592-MONOMER,iron-enterobactin transporter,STM0592,CCI-PM-BAC-NEG-GN
STM2359-MONOMER,putative amino acid transporter,STM2359,CCO-MEMBRANE
STM3262-MONOMER,Transcriptional regulator of sugar metabolism,STM3262,
STM3639-MONOMER,long polar fimbrial chaperone,STM3639,CCI-PERI-BAC-GN
STM3121-MONOMER,putative LysR family transcriptional regulator,STM3121,
STM0983-MONOMER,ComEC family protein,STM0983,CCI-PM-BAC-NEG-GN
STM1357-MONOMER,putative acetyl-CoA:acetoacetyl-CoA transferase beta subunit,STM1357,
STM2744-MONOMER,AlpA family transcriptional regulator,STM2744,
PSLT044-MONOMER,putative integrase protein,PSLT044,
STM4029-MONOMER,putative acetyltransferase,STM4029,
STM0839-MONOMER,putative inner membrane protein,STM0839,
STM4413-MONOMER,metal-dependent hydrolase,STM4413,
STM1732-MONOMER,outer membrane protein,STM1732,CCI-OUTER-MEM-GN
STM3501-MONOMER,two-component system sensor histidine kinase,STM3501,CCI-PM-BAC-NEG-GN
STM0318-MONOMER,fermentation/respiration switch protein,STM0318,
STM2111-MONOMER,colanic acid biosynthesis glycosyltransferase,STM2111,
STM3869-MONOMER,F0F1 ATP synthase subunit b,STM3869,CCI-PM-BAC-NEG-GN
STM2869-MONOMER,invasion protein,STM2869,CCI-CYTOSOL-GN
STM2866-MONOMER,transcriptional regulator,STM2866,
STM1217-MONOMER,integral membrane protein ABC transporter,STM1217,CCI-PM-BAC-NEG-GN
STM2486-MONOMER,putative inner membrane protein,STM2486,CCO-MEMBRANE
STM0572-MONOMER,phosphosugar isomerase,STM0572,CCI-CYTOSOL-GN
STM1593-MONOMER,ssrAB-activated protein,STM1593,
STM3242-MONOMER,propionate/acetate kinase,STM3242,CCI-CYTOSOL-GN
STM3620-MONOMER,cellulose synthase operon protein,STM3620,CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
STM0169-MONOMER,pyrroloquinoline quinone-dependent dehydrogenase,STM0169,CCI-PM-BAC-NEG-GN // CCI-PERI-BAC-GN
STM0963-MONOMER,serine--tRNA ligase,STM0963,CCI-CYTOSOL-GN
STM1338-MONOMER,phenylalanine--tRNA ligase subunit beta,STM1338,CCI-CYTOSOL-GN
STM4274-MONOMER,putative inner membrane protein,STM4274,CCI-PM-BAC-NEG-GN
PSLT025-MONOMER,putative cytoplasmic protein,PSLT025,
STM4010-MONOMER,putative hydrolase,STM4010,CCI-CYTOSOL-GN
STM1967-MONOMER,putative 50S ribosomal protein,STM1967,CCI-RIBOSOME-GN // CCO-MEMBRANE
STM4394-MONOMER,50S ribosomal protein L9,STM4394,CCI-RIBOSOME-GN
STM1713-MONOMER,transcriptional regulator,STM1713,CCI-CYTOSOL-GN
STM2343-MONOMER,PTS mannitol transporter subunit IIB,STM2343,
STM0296-MONOMER,putative cytoplasmic protein,STM0296,CCI-CYTOSOL-GN
STM2092-MONOMER,glucose-1-phosphate cytidylyltransferase,STM2092,
STM3104-MONOMER,YggW family oxidoreductase,STM3104,CCI-CYTOSOL-GN
STM2850-MONOMER,formate hydrogenlyase subunit,STM2850,CCI-PM-BAC-NEG-GN
STM2470-MONOMER,ethanolamine utilization protein,STM2470,
STM2728-MONOMER,Fels-2 prophage protein,STM2728,
STM0552-MONOMER,helix-turn-helix transcriptional regulator,STM0552,CCI-PILUS-GN
STM3226-MONOMER,DedA family protein,STM3226,CCI-PM-BAC-NEG-GN
STM0822-MONOMER,DNA-binding protein,STM0822,CCI-CYTOSOL-GN
STM3604-MONOMER,putative inner membrane protein,STM3604,CCO-MEMBRANE
STM0944-MONOMER,ATP-dependent Clp protease adapter,STM0944,
STM3485-MONOMER,cell division protein,STM3485,CCI-PM-BAC-NEG-GN
STM1322-MONOMER,2-deoxyglucose-6-phosphatase,STM1322,
PSLT007-MONOMER,putative outer membrane protein,PSLT007,CCI-PM-BAC-NEG-GN
STM3853-MONOMER,phosphate transport system regulatory protein,STM3853,CCI-CYTOSOL-GN
STM3993-MONOMER,molybdopterin-guanine dinucleotide biosynthesis protein B,STM3993,
STM4378-MONOMER,putative inner membrane protein,STM4378,
STM1201-MONOMER,DNA polymerase III subunit delta',STM1201,
